file,cum min,TimeOfDay,Site,hydrophone,ACI,ACI_LF,log ACI_HF,log 1-Hf,log M,dir,,ACI hi,H,sqrt H,Hf,1-Hf,M,minute,TimeOrig
18,21,4,2,5,166.402548,46.06985119,2.070825928,-1.323106478,-3.304596258,6,,124.8295645,0.865910238,0.93054298,0.893242867,0.106757133,0.002703667,2,2
18,26,4,2,5,167.2137612,47.13431032,2.068679398,-1.103987165,-3.274939831,6,,122.8995586,0.83114701,0.911672644,0.862014889,0.137985111,0.003363967,2,2
19,31,4,2,5,163.0037283,43.42548178,2.067258074,-1.15958492,-3.307845156,6,,123.1969679,0.834876928,0.913716,0.865075936,0.134924064,0.003197074,2,2
19,36,4,2,5,159.5797356,39.91546411,2.066834508,-1.268637852,-3.305851269,6,,125.6119927,0.861874895,0.928372175,0.893478225,0.106521775,0.00124824,7,2
19,41,4,2,5,165.5200155,45.71116247,2.068847498,-1.230943483,-3.299820867,6,,129.0796258,0.862239373,0.928568454,0.896398405,0.103601595,0.003446341,7,2
17,1,4,2,6,165.1306084,44.82378846,2.06948299,-1.180333972,-3.300440624,6,,123.0039617,0.829858222,0.910965544,0.863304967,0.136695033,0.003820658,7,2
17,6,4,2,6,162.0120738,41.88782206,2.06818238,-1.075908954,-3.22820828,6,,122.2741141,0.827600662,0.909725597,0.85762054,0.14237946,0.00395453,7,2
17,11,4,2,6,165.2785925,45.0888921,2.06844456,-1.142950424,-3.266634187,6,,122.4628861,0.877970232,0.937000657,0.907855861,0.092144139,0.00109756,12,2
18,16,4,2,6,167.2010823,46.70498193,2.070364247,-1.098879372,-3.254094127,6,,121.9308753,0.873267282,0.934487711,0.899861438,0.100138562,0.002368331,12,2
18,21,4,2,6,168.0205534,47.07405745,2.072470152,-1.173431167,-3.266347005,6,,122.9499817,0.827157454,0.90948197,0.864932016,0.135067984,0.003195405,12,2
18,26,4,2,6,172.6140205,51.13322803,2.072822745,-1.049608013,-3.240372943,6,,122.6609101,0.831741842,0.911998817,0.863162897,0.136837103,0.003363371,12,2
19,31,4,2,6,163.4095254,43.53902477,2.067937124,-0.992258549,-3.198513281,6,,124.9537419,0.857195676,0.925848625,0.896036184,0.103963816,0.001078963,2,2
